,test_r2,test_mae,cv_score,best_params
Openness,0.3595921958879619,0.6129190685518279,0.34709289545378574,{'model__alpha': 10.0}
Conscientiousness,0.042978455952238925,0.6031244989346602,-0.004457076566131901,{'model__alpha': 10.0}
Extraversion,0.06452479069196126,0.4609076780067646,0.0553715844076341,{'model__alpha': 10.0}
Agreeableness,0.0685003694501578,0.5581171493231173,0.02570414413520745,{'model__alpha': 10.0}
Neuroticism,0.0666549554167506,0.5436607978447024,0.011118423066805615,{'model__alpha': 10.0}
